Month,Average House Price,INDEX Q1 1993=100,Seasonally Adjusted Index,Monthly % Change (SA),Year % Change,Latest 3 months on previous 3 months
Jan-91,53052,105.8,107.1,,,
Feb-91,53497,106.7,107.5,0.30%,,
Mar-91,52893,105.5,106.5,-0.90%,,
Apr-91,53677,107.1,107.1,0.60%,,
May-91,54386,108.5,107.3,0.10%,,
Jun-91,55107,109.9,108.2,0.80%,,0.40%
Jul-91,54541,108.8,107,-1.10%,,0.40%
Aug-91,54041,107.8,106.8,-0.20%,,0.30%
Sep-91,53259,106.2,106.6,-0.20%,,-0.60%
Oct-91,53467,106.7,106.8,0.20%,,-0.70%
Nov-91,53018,105.8,107.2,0.40%,,-0.40%
Dec-91,53104,105.9,106.6,-0.50%,,0.10%
Jan-92,51951,103.6,104.9,-1.60%,-2.10%,-0.50%
Feb-92,51850,103.4,104.2,-0.60%,-3.10%,-1.50%
Mar-92,51978,103.7,104.6,0.30%,-1.70%,-2.20%
Apr-92,51978,103.7,103.7,-0.90%,-3.20%,-2.00%
May-92,52713,105.2,104,0.30%,-3.10%,-1.10%
Jun-92,52906,105.5,104,0.00%,-4.00%,-0.70%
Jul-92,52727,105.2,103.5,-0.40%,-3.30%,-0.30%
Aug-92,52312,104.4,103.5,0.00%,-3.20%,-0.40%
Sep-92,51097,101.9,102.3,-1.20%,-4.10%,-0.70%
Oct-92,50699,101.1,101.2,-1.00%,-5.20%,-1.40%
Nov-92,49602,99,100.2,-1.10%,-6.40%,-2.30%
Dec-92,49745,99.2,99.8,-0.30%,-6.30%,-2.60%
Jan-93,50075,99.9,101.1,1.30%,-3.60%,-1.90%
Feb-93,50375,100.5,101.4,0.20%,-2.80%,-0.50%
Mar-93,50187,100.1,100.8,-0.50%,-3.40%,0.70%
Apr-93,51677,103.1,102.9,2.10%,-0.60%,1.30%
May-93,50901,101.5,100.5,-2.40%,-3.40%,0.60%
Jun-93,52786,105.3,104,3.50%,-0.20%,1.30%
Jul-93,52245,104.2,102.7,-1.20%,-0.90%,0.70%
Aug-93,51697,103.1,102.4,-0.30%,-1.20%,1.60%
Sep-93,51177,102.1,102.4,0.00%,0.20%,0.00%
Oct-93,51209,102.2,102.2,-0.20%,1.00%,-0.10%
Nov-93,50614,101,102,-0.20%,2.00%,-0.80%
Dec-93,51423,102.6,103.2,1.20%,3.40%,0.00%
Jan-94,51621,103,104.3,1.10%,3.10%,0.80%
Feb-94,51516,102.8,103.7,-0.60%,2.30%,1.50%
Mar-94,52101,103.9,104.6,0.80%,3.80%,1.70%
Apr-94,51506,102.7,102.5,-2.00%,-0.30%,0.40%
May-94,51765,103.3,102.3,-0.20%,1.70%,-0.60%
Jun-94,51514,102.8,101.7,-0.60%,-2.40%,-2.00%
Jul-94,52121,104,102.6,0.90%,-0.20%,-1.30%
